step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
81,0,0.0,0,0,49,157,190,162,-0.3725075,1.2819791,2.0445695,1.3138646,0.33333334,0.81865287,1.0,0.8445596
82,0,0.0,0,0,45,157,190,162,-0.45975435,1.2819791,2.0445695,1.3138646,0.30666667,0.81865287,1.0,0.8445596
83,0,0.0,0,0,41,157,190,162,-0.5470012,1.2819791,2.0445695,1.3138646,0.28,0.81865287,1.0,0.8445596
84,0,0.0,0,0,37,157,190,162,-0.63424796,1.2819791,2.0445695,1.3138646,0.25333333,0.81865287,1.0,0.8445596
85,0,0.0,0,0,33,157,190,162,-0.7214948,1.2819791,2.0445695,1.3138646,0.22666667,0.81865287,1.0,0.8445596
86,0,0.0,0,0,29,157,190,162,-0.8087416,1.2819791,2.0445695,1.3138646,0.2,0.81865287,1.0,0.8445596
87,0,0.0,0,0,25,157,190,162,-0.89598846,1.2819791,2.0445695,1.3138646,0.17333333,0.81865287,1.0,0.8445596
88,0,0.0,0,0,21,157,190,162,-0.98323524,1.2819791,2.0445695,1.3138646,0.14666666,0.81865287,1.0,0.8445596
89,0,0.0,0,0,21,153,190,160,-0.98323524,1.2111075,2.0445695,1.2754877,0.14666666,0.79792744,1.0,0.83419687
90,0,0.0,0,0,25,145,190,152,-0.89598846,1.0693643,2.0445695,1.1219802,0.17333333,0.7564767,1.0,0.7927461
91,2,0.0,0,0,29,137,187,146,-0.8087416,0.927621,1.9734238,1.0068495,0.2,0.7150259,0.9805195,0.761658
92,2,0.0,0,0,33,129,169,138,-0.7214948,0.78587776,1.5465496,0.853342,0.22666667,0.6735751,0.8636364,0.7202073
93,2,0.0,0,0,37,121,149,132,-0.63424796,0.6441345,1.0722449,0.73821133,0.25333333,0.63212436,0.73376626,0.68911916
94,0,0.0,0,0,41,113,135,124,-0.5470012,0.5023913,0.7402316,0.5847038,0.28,0.59067357,0.64285713,0.6476684
95,0,0.0,0,0,45,105,133,118,-0.45975435,0.36064804,0.6928011,0.4695731,0.30666667,0.5492228,0.6298701,0.6165803
96,2,0.0,0,0,49,97,121,110,-0.3725075,0.2189048,0.40821826,0.31606558,0.33333334,0.507772,0.5519481,0.5751295
97,2,0.0,0,0,53,89,101,104,-0.2852607,0.07716154,-0.06608646,0.20093493,0.36,0.46632123,0.42207792,0.54404145
98,0,0.0,0,0,57,81,81,96,-0.19801387,-0.06458171,-0.5403912,0.04742739,0.38666666,0.42487046,0.29220778,0.50259066
99,0,0.0,0,0,61,73,75,90,-0.11076706,-0.20632495,-0.68268263,-0.06770326,0.41333333,0.3834197,0.25324675,0.4715026
100,0,0.0,0,0,65,65,73,82,-0.023520237,-0.3480682,-0.7301131,-0.22121081,0.44,0.34196892,0.24025974,0.4300518
101,0,0.0,0,0,69,57,73,76,0.06372658,-0.48981145,-0.7301131,-0.33634147,0.46666667,0.30051813,0.24025974,0.39896372
102,0,0.0,0,0,73,49,73,68,0.15097341,-0.6315547,-0.7301131,-0.489849,0.49333334,0.25906736,0.24025974,0.35751295
103,0,0.0,0,0,77,41,73,62,0.23822023,-0.77329797,-0.7301131,-0.60497963,0.52,0.21761657,0.24025974,0.32642487
104,0,0.0,0,0,81,34,73,54,0.32546705,-0.8973233,-0.7301131,-0.75848716,0.5466667,0.18134715,0.24025974,0.2849741
105,0,0.0,0,0,85,38,73,48,0.41271386,-0.82645166,-0.7301131,-0.8736178,0.5733333,0.20207255,0.24025974,0.253886
106,0,0.0,0,0,89,46,73,52,0.4999607,-0.6847084,-0.7301131,-0.7968641,0.6,0.24352331,0.24025974,0.2746114
107,0,0.0,0,0,93,54,73,58,0.5872075,-0.5429652,-0.7301131,-0.6817334,0.62666667,0.2849741,0.24025974,0.30569947
108,0,0.0,0,0,97,62,73,66,0.67445433,-0.40122193,-0.7301131,-0.5282259,0.6533333,0.32642487,0.24025974,0.34715027
109,3,0.0,0,0,101,70,83,72,0.76170117,-0.25947866,-0.49296072,-0.41309524,0.68,0.36787564,0.3051948,0.37823835
110,3,0.0,0,0,105,78,103,80,0.84894794,-0.11773542,-0.018655991,-0.25958768,0.70666665,0.40932643,0.43506494,0.41968912
111,0,0.0,0,0,109,86,115,86,0.9361948,0.024007821,0.26592684,-0.14445703,0.73333335,0.4507772,0.512987,0.4507772
112,3,0.0,0,0,113,94,129,94,1.0234416,0.16575107,0.59794015,0.009050506,0.76,0.49222797,0.6038961,0.49222797
113,0,0.0,0,0,117,102,139,100,1.1106884,0.3074943,0.8350925,0.12418116,0.7866667,0.53367877,0.66883117,0.5233161
114,0,0.0,0,0,121,110,143,108,1.1979352,0.44923756,0.92995346,0.2776887,0.81333333,0.5751295,0.6948052,0.5647668
115,0,0.0,0,0,125,118,143,114,1.2851821,0.5909808,0.92995346,0.39281934,0.84,0.6165803,0.6948052,0.59585494
116,0,0.0,0,0,129,126,143,122,1.3724289,0.7327241,0.92995346,0.5463269,0.8666667,0.6580311,0.6948052,0.6373057
117,0,0.0,0,0,133,133,143,128,1.4596757,0.8567494,0.92995346,0.66145754,0.8933333,0.69430053,0.6948052,0.6683938
118,0,0.0,0,0,137,141,143,136,1.5469226,0.99849266,0.92995346,0.81496507,0.92,0.7357513,0.6948052,0.7098446
