step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,action_next,ball_vx,ball_vy,right_paddle_vy,left_paddle_vy
244,0,0.0,1,1,28,64,107,68,0.0,-4.0,-4.0,0.0,-6.0
245,0,0.0,1,1,24,60,107,66,2.0,-4.0,-4.0,0.0,-2.0
246,2,0.0,1,1,20,56,99,60,2.0,-4.0,-4.0,-8.0,-6.0
247,2,0.0,1,1,22,49,77,56,0.0,2.0,-7.0,-22.0,-4.0
248,0,0.0,1,1,26,41,65,48,0.0,4.0,-8.0,-12.0,-8.0
249,0,0.0,1,1,30,34,63,42,0.0,4.0,-7.0,-2.0,-6.0
250,0,0.0,1,1,34,38,61,42,0.0,4.0,4.0,-2.0,0.0
251,0,0.0,1,1,38,46,61,48,0.0,4.0,8.0,0.0,6.0
252,0,0.0,1,1,42,54,61,56,3.0,4.0,8.0,0.0,8.0
253,3,0.0,1,1,46,62,71,62,3.0,4.0,8.0,10.0,6.0
254,3,0.0,1,1,50,70,93,70,3.0,4.0,8.0,22.0,8.0
255,3,0.0,1,1,54,78,113,76,3.0,4.0,8.0,20.0,6.0
256,3,0.0,1,1,58,86,137,84,0.0,4.0,8.0,24.0,8.0
257,0,0.0,1,1,62,94,151,90,0.0,4.0,8.0,14.0,6.0
258,0,0.0,1,1,66,102,153,98,3.0,4.0,8.0,2.0,8.0
259,3,0.0,1,1,70,110,163,104,0.0,4.0,8.0,10.0,6.0
260,0,0.0,1,1,74,118,173,112,0.0,4.0,8.0,10.0,8.0
261,0,0.0,1,1,78,126,177,118,0.0,4.0,8.0,4.0,6.0
262,0,0.0,1,1,82,134,177,126,0.0,4.0,8.0,0.0,8.0
263,0,0.0,1,1,86,142,177,132,2.0,4.0,8.0,0.0,6.0
264,2,0.0,1,1,90,150,171,140,0.0,4.0,8.0,-6.0,8.0
265,0,0.0,1,1,94,158,159,146,0.0,4.0,8.0,-12.0,6.0
266,0,0.0,1,1,98,166,155,154,0.0,4.0,8.0,-4.0,8.0
