step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y
288,0,0.0,1,1,92,92,85
289,0,0.0,1,1,88,88,85
290,0,0.0,1,1,84,84,85
291,0,0.0,1,1,80,80,85
292,0,0.0,1,1,76,76,85
293,0,0.0,1,1,72,72,85
294,0,0.0,1,1,68,68,85
295,0,0.0,1,1,64,64,85
296,0,0.0,1,1,60,60,85
297,0,0.0,1,1,56,56,85
298,0,0.0,1,1,52,52,85
299,0,0.0,1,1,48,48,85
300,0,0.0,1,1,44,44,85
301,0,0.0,1,1,40,40,85
302,0,0.0,1,1,36,36,85
303,0,0.0,1,1,32,34,85
304,0,0.0,1,1,28,37,85
305,0,0.0,1,1,24,41,85
306,0,0.0,1,1,20,45,85
307,3,0.0,1,1,22,40,95
308,3,0.0,1,1,26,34,115
309,0,0.0,1,1,30,41,127
310,0,0.0,1,1,34,49,129
311,0,0.0,1,1,38,57,131
312,0,0.0,1,1,42,65,131
313,2,0.0,1,1,46,73,121
314,0,0.0,1,1,50,81,111
315,0,0.0,1,1,54,89,107
316,3,0.0,1,1,58,97,117
317,3,0.0,1,1,62,105,139
318,0,0.0,1,1,66,113,153
319,0,0.0,1,1,70,121,157
320,3,0.0,1,1,74,129,159
321,0,0.0,1,1,78,137,163
322,0,0.0,1,1,82,145,165
323,2,0.0,1,1,86,153,155
324,0,0.0,1,1,90,161,147
325,0,0.0,1,1,94,169,143
326,0,0.0,1,1,98,177,143
327,0,0.0,1,1,102,185,143
328,0,0.0,1,1,106,192,143
329,0,0.0,1,1,110,184,143
330,0,0.0,1,1,114,176,143
331,0,0.0,1,1,118,168,143
332,0,0.0,1,1,122,160,143
333,0,0.0,1,1,126,152,143
334,2,0.0,1,1,130,143,137
335,0,0.0,1,1,134,135,129
336,0,0.0,1,1,138,127,125
337,0,0.0,1,1,133,125,125
338,0,0.0,1,1,125,126,125
339,0,0.0,1,1,117,126,125
340,0,0.0,1,1,109,126,125
341,0,0.0,1,1,101,126,125
342,0,0.0,1,1,93,126,125
343,0,0.0,1,1,85,126,125
344,0,0.0,1,1,77,126,125
345,0,0.0,1,1,69,126,125
346,0,0.0,1,1,61,126,125
347,0,0.0,1,1,53,126,125
348,0,0.0,1,1,45,126,125
349,0,0.0,1,1,37,126,125
350,0,0.0,1,1,29,126,125
351,0,0.0,1,1,21,126,125
352,0,0.0,1,1,25,120,125
353,0,0.0,1,1,33,112,125
354,0,0.0,1,1,41,104,125
355,0,0.0,1,1,49,96,125
356,2,0.0,1,1,57,88,115
