step,action,reward,score_left,score_right,partita,ball_x,ball_y,right_paddle_y,left_paddle_y
285,1,0.0,4,0,1,-1.0,-1.0,189.0,176.0
286,1,0.0,4,0,1,-1.0,-1.0,179.0,168.0
287,1,0.0,4,0,1,-1.0,-1.0,157.0,162.0
288,0,0.0,4,0,1,-1.0,-1.0,145.0,154.0
289,0,0.0,4,0,1,-1.0,-1.0,141.0,148.0
290,0,0.0,4,0,1,-1.0,-1.0,141.0,140.0
291,0,0.0,4,0,1,-1.0,-1.0,141.0,134.0
292,0,0.0,4,0,1,-1.0,-1.0,141.0,126.0
0,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
1,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
2,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
3,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
4,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
5,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
6,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
7,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
8,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
9,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
10,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
11,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
12,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
13,0,0.0,0,0,2,-1.0,-1.0,103.0,-1.0
14,0,0.0,0,0,2,77.0,119.0,103.0,124.0
15,0,0.0,0,0,2,73.0,127.0,103.0,130.0
16,0,0.0,0,0,2,69.0,135.0,103.0,138.0
17,0,0.0,0,0,2,65.0,143.0,103.0,144.0
18,0,0.0,0,0,2,61.0,151.0,103.0,152.0
19,0,0.0,0,0,2,57.0,159.0,103.0,158.0
20,0,0.0,0,0,2,53.0,167.0,103.0,166.0
21,0,0.0,0,0,2,49.0,175.0,103.0,172.0
22,1,0.0,0,0,2,45.0,183.0,93.0,180.0
23,1,0.0,0,0,2,41.0,191.0,71.0,186.0
24,0,0.0,0,0,2,37.0,186.0,57.0,188.0
25,0,0.0,0,0,2,33.0,178.0,53.0,184.0
26,0,0.0,0,0,2,29.0,170.0,51.0,176.0
27,2,0.0,0,0,2,25.0,162.0,61.0,170.0
28,2,0.0,0,0,2,21.0,154.0,81.0,162.0
29,2,0.0,0,0,2,21.0,144.0,103.0,156.0
30,2,0.0,0,0,2,25.0,136.0,125.0,148.0
31,0,0.0,0,0,2,29.0,128.0,139.0,142.0
32,0,0.0,0,0,2,33.0,120.0,141.0,134.0
33,1,0.0,0,0,2,37.0,112.0,133.0,128.0
34,1,0.0,0,0,2,41.0,104.0,113.0,120.0
35,1,0.0,0,0,2,45.0,96.0,91.0,114.0
36,0,0.0,0,0,2,49.0,88.0,77.0,106.0
37,0,0.0,0,0,2,53.0,80.0,75.0,100.0
38,0,0.0,0,0,2,57.0,72.0,73.0,92.0
39,2,0.0,0,0,2,61.0,64.0,79.0,86.0
40,2,0.0,0,0,2,65.0,56.0,97.0,78.0
41,0,0.0,0,0,2,69.0,48.0,109.0,72.0
42,0,0.0,0,0,2,73.0,40.0,113.0,64.0
43,1,0.0,0,0,2,77.0,34.0,103.0,58.0
44,1,0.0,0,0,2,81.0,41.0,83.0,50.0
45,0,0.0,0,0,2,85.0,49.0,67.0,52.0
46,0,0.0,0,0,2,89.0,57.0,63.0,60.0
47,0,0.0,0,0,2,93.0,65.0,61.0,66.0
48,0,0.0,0,0,2,97.0,73.0,61.0,74.0
49,2,0.0,0,0,2,101.0,81.0,67.0,80.0
50,2,0.0,0,0,2,105.0,89.0,87.0,88.0
51,2,0.0,0,0,2,109.0,97.0,107.0,94.0
52,0,0.0,0,0,2,113.0,105.0,125.0,102.0
53,0,0.0,0,0,2,117.0,113.0,129.0,108.0
54,0,0.0,0,0,2,121.0,121.0,131.0,116.0
55,0,0.0,0,0,2,125.0,129.0,131.0,122.0
56,0,0.0,0,0,2,129.0,137.0,131.0,130.0
57,0,0.0,0,0,2,133.0,145.0,131.0,136.0
58,0,0.0,0,0,2,137.0,153.0,131.0,144.0
59,2,0.0,0,0,2,141.0,161.0,137.0,150.0
60,2,0.0,0,0,2,145.0,169.0,155.0,158.0
61,2,0.0,0,0,2,149.0,176.0,177.0,164.0
62,2,0.0,0,0,2,-1.0,-1.0,189.0,172.0
63,0,-1.0,1,0,2,-1.0,-1.0,190.0,178.0
64,0,0.0,1,0,2,-1.0,-1.0,191.0,170.0
65,1,0.0,1,0,2,-1.0,-1.0,189.0,164.0
66,1,0.0,1,0,2,-1.0,-1.0,179.0,156.0
67,1,0.0,1,0,2,-1.0,-1.0,157.0,150.0
68,1,0.0,1,0,2,-1.0,-1.0,135.0,142.0
69,1,0.0,1,0,2,-1.0,-1.0,111.0,136.0
70,1,0.0,1,0,2,-1.0,-1.0,89.0,128.0
71,0,0.0,1,0,2,-1.0,-1.0,75.0,122.0
72,0,0.0,1,0,2,-1.0,-1.0,73.0,114.0
73,0,0.0,1,0,2,-1.0,-1.0,71.0,108.0
74,0,0.0,1,0,2,-1.0,-1.0,71.0,100.0
75,2,0.0,1,0,2,-1.0,-1.0,77.0,94.0
