step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
97,1,0.0,0,0,53,89,115,104,-0.48426425,-0.35779718,0.18467051,-0.18212111,0.369863,0.46391752,0.5033557,0.54404145
98,1,0.0,0,0,57,81,95,96,-0.38552466,-0.50417936,-0.35224175,-0.33605394,0.39726028,0.4226804,0.3691275,0.50259066
99,0,0.0,0,0,61,73,79,90,-0.28678507,-0.6505616,-0.78177154,-0.45150355,0.42465752,0.3814433,0.26174498,0.4715026
100,0,0.0,0,0,65,65,75,82,-0.1880455,-0.7969437,-0.889154,-0.6054364,0.4520548,0.34020618,0.23489933,0.4300518
101,0,0.0,0,0,69,57,73,76,-0.08930591,-0.94332594,-0.9428452,-0.720886,0.47945204,0.29896906,0.22147651,0.39896372
102,0,0.0,0,0,73,49,73,68,0.009433679,-1.0897081,-0.9428452,-0.8748188,0.5068493,0.25773194,0.22147651,0.35751295
103,1,0.0,0,0,77,41,63,62,0.108173266,-1.2360903,-1.2113013,-0.9902684,0.53424656,0.21649484,0.15436241,0.32642487
104,0,0.0,0,0,81,34,55,54,0.20691285,-1.3641747,-1.4260663,-1.1442013,0.56164384,0.18041237,0.10067114,0.2849741
105,0,0.0,0,0,85,38,51,48,0.30565244,-1.2909837,-1.5334487,-1.2596508,0.5890411,0.20103092,0.0738255,0.253886
106,0,0.0,0,0,89,46,51,52,0.40439203,-1.1446015,-1.5334487,-1.1826844,0.6164383,0.24226804,0.0738255,0.2746114
107,0,0.0,0,0,93,54,51,58,0.5031316,-0.99821925,-1.5334487,-1.0672349,0.6438356,0.28350514,0.0738255,0.30569947
108,2,0.0,0,0,97,62,61,66,0.6018712,-0.85183704,-1.2649926,-0.913302,0.6712329,0.32474226,0.1409396,0.34715027
109,2,0.0,0,0,101,70,81,72,0.70061076,-0.7054549,-0.72808033,-0.7978524,0.69863015,0.36597937,0.2751678,0.37823835
110,0,0.0,0,0,105,78,93,80,0.7993504,-0.5590727,-0.405933,-0.6439196,0.72602737,0.4072165,0.3557047,0.41968912
111,0,0.0,0,0,109,86,95,86,0.89808995,-0.41269052,-0.35224175,-0.52847,0.75342464,0.4484536,0.3691275,0.4507772
112,0,0.0,0,0,113,94,97,94,0.99682957,-0.2663083,-0.29855052,-0.37453714,0.7808219,0.48969072,0.38255033,0.49222797
113,0,0.0,0,0,117,102,97,100,1.0955691,-0.11992613,-0.29855052,-0.25908753,0.8082192,0.53092784,0.38255033,0.5233161
114,0,0.0,0,0,121,110,97,108,1.1943088,0.026456052,-0.29855052,-0.1051547,0.8356164,0.57216495,0.38255033,0.5647668
