step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y
227,0,0.0,2,1,148,183,165,187
228,0,0.0,2,1,-1,-1,165,190
229,0,0.0,2,1,-1,-1,165,191
230,0,-1.0,3,1,-1,-1,165,189
231,0,0.0,3,1,-1,-1,165,186
232,0,0.0,3,1,-1,-1,165,178
233,0,0.0,3,1,-1,-1,165,172
234,0,0.0,3,1,-1,-1,165,164
235,0,0.0,3,1,-1,-1,165,158
236,0,0.0,3,1,-1,-1,165,150
237,0,0.0,3,1,-1,-1,165,144
238,0,0.0,3,1,-1,-1,165,136
239,0,0.0,3,1,-1,-1,165,130
240,0,0.0,3,1,-1,-1,165,122
241,0,0.0,3,1,-1,-1,165,116
242,0,0.0,3,1,-1,-1,165,108
